"date","day","month","year","n_cases","n_deaths","country","geo_id","country_code","n_population_2018","n_cases_sum","dss","rsq","K","Y0","r","max_day"
"2020-03-09",9,3,2020,5,0,"Canada","CA","CAN",37058856,62,44,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-10",10,3,2020,15,1,"Canada","CA","CAN",37058856,77,45,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-11",11,3,2020,16,0,"Canada","CA","CAN",37058856,93,46,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-12",12,3,2020,10,0,"Canada","CA","CAN",37058856,103,47,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-13",13,3,2020,35,0,"Canada","CA","CAN",37058856,138,48,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-14",14,3,2020,38,0,"Canada","CA","CAN",37058856,176,49,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-15",15,3,2020,68,0,"Canada","CA","CAN",37058856,244,50,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-16",16,3,2020,60,0,"Canada","CA","CAN",37058856,304,51,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-17",17,3,2020,120,3,"Canada","CA","CAN",37058856,424,52,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-18",18,3,2020,145,4,"Canada","CA","CAN",37058856,569,53,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-19",19,3,2020,121,1,"Canada","CA","CAN",37058856,690,54,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-20",20,3,2020,156,1,"Canada","CA","CAN",37058856,846,55,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-21",21,3,2020,125,2,"Canada","CA","CAN",37058856,971,56,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-22",22,3,2020,331,6,"Canada","CA","CAN",37058856,1302,57,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-23",23,3,2020,128,2,"Canada","CA","CAN",37058856,1430,58,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-24",24,3,2020,216,4,"Canada","CA","CAN",37058856,1646,59,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-25",25,3,2020,313,3,"Canada","CA","CAN",37058856,1959,60,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-26",26,3,2020,1426,8,"Canada","CA","CAN",37058856,3385,61,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-27",27,3,2020,633,4,"Canada","CA","CAN",37058856,4018,62,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-28",28,3,2020,657,14,"Canada","CA","CAN",37058856,4675,63,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-29",29,3,2020,711,7,"Canada","CA","CAN",37058856,5386,64,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-30",30,3,2020,869,1,"Canada","CA","CAN",37058856,6255,65,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-03-31",31,3,2020,1169,28,"Canada","CA","CAN",37058856,7424,66,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-01",1,4,2020,1112,7,"Canada","CA","CAN",37058856,8536,67,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-02",2,4,2020,1059,13,"Canada","CA","CAN",37058856,9595,68,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-03",3,4,2020,1673,29,"Canada","CA","CAN",37058856,11268,69,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
